"","Short_Name","the_geom","Address","Lat","Long","Grade_Cat","AM_Bell_1415","PM_Bell_1415","AM_Bell_1516","PM_Bell_1415.1","changedBell"
"625","VON LINNE","POINT (-87.7026346744549 41.94000927919317)","3221 N Sacramento Ave",41.940009,-87.702635,"ES",NA,NA,NA,NA,0
"626","VON STEUBEN HS","POINT (-87.71338625325822 41.97318504776281)","5039 N Kimball Ave",41.973185,-87.713386,"HS",NA,NA,NA,NA,0
"627","WACKER","POINT (-87.64804432354694 41.71619329538309)","9746 S Morgan St",41.716193,-87.648044,"ES",NA,NA,NA,NA,0
"628","WADSWORTH","POINT (-87.60101811221732 41.77347789750089)","6650 S Ellis Ave",41.773478,-87.601018,"ES",NA,NA,NA,NA,0
"629","WALSH","POINT (-87.6480861747423 41.85483574702165)","2015 S Peoria St",41.854836,-87.648086,"ES",NA,NA,NA,NA,0
"630","WARD J","POINT (-87.63535578863305 41.84398008867346)","2701 S Shields Ave",41.84398,-87.635356,"ES",NA,NA,NA,NA,0
"631","WARD L","POINT (-87.71879729276962 41.89323560979409)","646 N Lawndale Ave",41.893236,-87.718797,"ES",NA,NA,NA,NA,0
"632","WARREN","POINT (-87.57535254915516 41.726762908727196)","9239 S Jeffery Ave",41.726763,-87.575353,"ES",NA,NA,NA,NA,0
"633","WASHINGTON G ES","POINT (-87.53601529926293 41.688131483415376)","3611 E 114th St",41.688131,-87.536015,"ES",NA,NA,NA,NA,0
"634","WASHINGTON H ES","POINT (-87.59625661608355 41.72853414220846)","9130 S University Ave",41.728534,-87.596257,"ES",NA,NA,NA,NA,0
"635","WASHINGTON HS","POINT (-87.53757030015832 41.688136935652565)","3535 E 114th St",41.688137,-87.53757,"HS","7:45 AM","3:08 PM","9:00 AM","3:08 PM",1
"636","WATERS","POINT (-87.69133251140961 41.96436540371576)","4540 N Campbell Ave",41.964365,-87.691333,"ES",NA,NA,NA,NA,0
"637","WEBSTER","POINT (-87.72752437478212 41.86991585766012)","4055 W Arthington St",41.869916,-87.727524,"ES",NA,NA,NA,NA,0
